,Entry,PLOT,Check,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
56,BS614-36,11041,B,Full,28,2,0,11,12,3,2,2,,,,2020,Snyder,2,19,Winter DH Germination
57,BS614-37,11042,B,Full,29,1,0,6,10,9,1,4,,,,2020,Snyder,2,19,Winter DH Germination
58,BS614-37,11042,B,Full,29,2,0,11,9,6,3,1,,,,2020,Snyder,2,19,Winter DH Germination
59,BS614-38,11043,B,Full,30,1,0,12,9,6,1,2,,,,2020,Snyder,2,19,Winter DH Germination
60,BS614-38,11043,B,Full,30,2,1,6,11,7,1,4,,,,2020,Snyder,2,19,Winter DH Germination
61,BS614-39,11044,B,Full,31,1,0,4,8,11,4,3,,,,2020,Snyder,2,19,Winter DH Germination
62,BS614-39,11044,B,Full,31,2,0,6,8,7,4,5,,,,2020,Snyder,2,19,Winter DH Germination
63,BS614-40,11045,B,Full,32,1,1,10,8,6,2,3,,,,2020,Snyder,2,19,Winter DH Germination
64,BS614-40,11045,B,Full,32,2,0,8,15,7,1,0,,,,2020,Snyder,2,19,Winter DH Germination
65,BS615-41,11046,B,Full,33,1,0,6,7,4,4,9,,,,2020,Snyder,2,19,Winter DH Germination
66,BS615-41,11046,B,Full,33,2,0,5,9,5,6,5,,,,2020,Snyder,2,19,Winter DH Germination
67,BS615-42,11047,B,Full,34,1,2,14,7,1,1,5,,,,2020,Snyder,2,19,Winter DH Germination
68,BS615-42,11047,B,Full,34,2,0,11,9,5,4,1,,,,2020,Snyder,2,19,Winter DH Germination
69,BS615-43,11048,B,Half,35,1,4,22,3,0,0,1,,,,2020,Snyder,2,19,Winter DH Germination
70,BS615-43,11048,B,Half,35,2,11,16,2,0,0,1,,,,2020,Snyder,2,19,Winter DH Germination
71,BS615-44,11049,B,Half,36,1,0,9,7,7,3,4,,,,2020,Snyder,2,19,Winter DH Germination
72,BS615-44,11049,B,Half,36,2,1,10,6,9,1,3,,,,2020,Snyder,2,19,Winter DH Germination
