taxa,PC1,PC2
BS611-1,-46.6404098310989,20.6826186235393
BS611-2,-33.4085537855435,25.3529221944045
BS611-3,-44.6069900387708,28.2513118857221
BS611-4,-25.7547279191812,20.0442275387884
BS911-117,-41.3308387996228,17.4824365099626
BS613-6,-42.6674418347929,-6.91883272897585
BS613-7,-41.4945984461443,-8.36927388383194
BS613-8,-40.2470017340404,-6.55853199135602
BS613-9,-13.7258841846872,-9.03568439172068
BS613-10,-23.8865785088664,-6.65841687533451
BS613-11,-23.8865785088664,-6.65841687533451
BS613-12,-18.3414191491111,-11.4982853787134
BS613-13,-38.6544201156866,-7.30623239083432
BS613-14,-1.1848528059461,27.8903781691847
BS613-15,-17.9708253664348,35.6110558010856
BS613-16,-5.26991405425787,44.7960656859288
BS912-137,-47.383059366686,23.4027290727349
BS613-18,-44.1644398129332,-4.68732433809189
BS613-19,-36.1474705789035,24.3343174040362
BS613-20,-3.72608547504035,47.3782261112435
BS613-21,-39.9443822793269,-11.6371215166661
BS614-22,-37.6287009051581,30.9632920836708
BS614-23,-44.5945110799222,25.5222642574126
BS614-24,-38.8893635194251,-22.5071916138924
BS614-25,-41.8885481282296,28.9528524693358
BS614-26,-21.9941411008667,-19.2823489159275
BS614-27,-44.3263663503272,-24.6721143611885
BS614-28,-39.2510729425693,20.8514352834013
BS614-29,-31.8513536498388,19.2904475134651
BS614-30,-45.7591335346294,23.4851705287329
BS614-31,-45.7962803838476,-22.5631024205393
BS614-32,-6.24370047912949,39.3355864493416
BS614-33,-0.960075537001751,-0.630535067318956
BS614-34,-26.9004599269048,-9.04676977276001
BS614-35,-14.7966137039486,-2.15063935386337
BS614-36,-36.0634467764432,-8.61070065059086
BS614-37,-26.8034499445859,-22.8864855227064
BS614-38,-17.8756506837018,-21.6675647877461
BS614-39,-37.6821871030061,-14.2140522093994
BS614-40,-26.3763350468309,-12.0762419625118
BS615-41,-32.8648931264595,-18.830796907162
BS615-42,-7.68209059076965,39.9334484345097
BS615-43,-38.5609516775957,-19.8437046729359
BS615-44,-24.6330324109346,-22.9517526387441
BS615-45,-22.4060847700123,-9.61862681053244
BS615-46,-7.68318008790402,39.9262228969762
BS911-118,-38.3903840444575,-22.938382683383
BS615-48,-10.2569977316059,33.5875539814255
BS615-49,-5.84814177011278,-21.386191214115
BS615-50,-15.0080250719524,-19.1767245659506
BS615-51,-18.3626526966849,34.0006436478851
BS615-52,-9.78789157925421,32.5357899885744
BS615-53,-41.1441940449455,19.3845744371399
BS615-54,-14.143727195709,0.800337484588243
BS615-55,-4.76283603807682,42.4381079451951
BS615-56,-6.32444917936033,12.2334048929826
BS615-57,-39.5848998610588,39.7663514919454
BS616-58,-25.1946749695801,32.4735099662955
BS616-59,-15.0301842211787,-19.3625893024682
BS616-60,-7.79308740803853,22.9247910564992
BS616-61,-18.4433817863022,-12.1882835310596
BS616-62,-30.8096551881154,28.0434320534739
