"","Order","Entry","PLOT","Full_sample","Check","Sample_ID","replication","Day1Germ","Day2Germ","Day3Germ","Day4Germ","Day5Germ","kernels_remaining","Mold_kern","Check","Cooler","UserDay1","UserDay2","UserDay3","UserDay4","UserDay5","note","Location","Year","Timepoint","PM_at_plating","Experiment"
"35",35,"BS613-20","11025","Half","B",16,2,2,27,0,0,0,1,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"36",36,"BS613-20","11025","Half","B",16,1,3,27,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"37",37,"BS613-21","11026","Full","B",17,2,9,20,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"38",38,"BS613-21","11026","Full","B",17,1,11,19,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"39",39,"BS614-23","11028","Full","B",18,2,12,14,4,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"40",40,"BS614-23","11028","Full","B",18,1,19,10,1,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"41",41,"BS614-24","11029","Half","B",19,2,8,20,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"42",42,"BS614-24","11029","Half","B",19,1,9,16,3,0,0,2,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"43",43,"BS614-26","11031","Full","B",20,2,8,22,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"44",44,"BS614-26","11031","Full","B",20,1,5,23,2,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"45",45,"BS614-27","11032","Half","B",21,2,8,19,1,1,1,1,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"46",46,"BS614-27","11032","Half","B",21,1,7,17,6,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"47",47,"BS614-29","11034","Full","B",22,2,9,20,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"48",48,"BS614-29","11034","Full","B",22,1,3,25,2,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"49",49,"BS614-30","11035","Half","B",23,2,9,15,6,0,1,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"50",50,"BS614-30","11035","Half","B",23,1,10,16,3,1,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"51",51,"BS614-31","11036","Full","B",24,2,15,15,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"52",52,"BS614-31","11036","Full","B",24,1,11,16,3,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"53",53,"BS614-32","11037","Full","B",25,2,10,17,3,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"54",54,"BS614-32","11037","Full","B",25,1,4,26,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"55",55,"BS614-33","11038","Half","B",26,2,6,22,1,1,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"56",56,"BS614-33","11038","Half","B",26,1,9,19,2,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"57",57,"BS614-34","11039","Full","B",27,2,12,18,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"58",58,"BS614-34","11039","Full","B",27,1,11,17,2,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"59",59,"BS614-35","11040","Half","B",NA,2,11,17,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"60",60,"BS614-35","11040","Half","B",NA,1,4,21,3,1,0,1,NA,"B",NA,NA,NA,NA,NA,NA,NA,"Snyder","2020","5","152","Winter DH Germination"
"61",61,"BS614-36","11041","Full","B",28,2,5,21,2,1,1,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"62",62,"BS614-36","11041","Full","B",28,1,4,24,1,1,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"63",63,"BS614-37","11042","Full","B",29,2,7,22,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"64",64,"BS614-37","11042","Full","B",29,1,5,21,4,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"65",65,"BS614-38","11043","Full","B",30,2,7,21,1,0,0,1,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"66",66,"BS614-38","11043","Full","B",30,1,4,23,3,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"67",67,"BS614-39","11044","Full","B",31,2,9,16,2,2,1,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"68",68,"BS614-39","11044","Full","B",31,1,8,22,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"69",69,"BS614-40","11045","Full","B",32,2,6,21,2,1,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"70",70,"BS614-40","11045","Full","B",32,1,2,23,4,1,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
