,Entry,PLOT,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,KernelsLeft,User_Day1_2,User_Day3,User_Day4_5,Mold_kern?,notes
74,BS616-64,11071,Full,56,2,0,3,3,9,8,7,DS,DS,KK,0,
75,BS616-66,11073,Full,57,1,0,1,5,2,5,17,DS,DS,KK,0,
76,BS616-66,11073,Full,57,2,0,0,1,3,5,21,DS,DS,KK,0,
77,BS616-68,11075,Full,59,1,0,0,8,7,3,13,DS,DS,KK,1,
78,BS616-68,11075,Full,59,2,0,0,6,8,5,11,DS,DS,KK,0,
79,BS616-69,11076,Full,60,1,0,11,15,2,1,1,DS,DS,KK,0,
80,BS616-69,11076,Full,60,2,1,17,7,3,2,0,DS,DS,KK,0,
81,BS616-71,11078,Full,62,1,0,2,4,7,4,13,DS,DS,KK,0,
82,BS616-71,11078,Full,62,2,0,0,6,3,5,16,DS,DS,KK,0,
83,BS616-74,11081,Full,65,1,0,1,5,6,9,9,DS,DS,KK,0,
84,BS616-74,11081,Full,65,2,0,0,4,13,9,4,DS,DS,KK,0,
85,BS616-75,11082,Full,66,1,0,2,2,2,5,19,DS,DS,KK,2,
86,BS616-75,11082,Full,66,2,0,0,4,2,13,11,DS,DS,KK,0,
87,BS616-79,11086,Full,68,1,0,2,9,6,6,7,DS,DS,KK,0,
88,BS616-79,11086,Full,68,2,0,0,6,5,6,12,DS,DS,KK,0,
89,BS710-2,11088,Full,69,1,0,6,14,6,2,2,DS,DS,KK,0,
90,BS710-2,11088,Full,69,2,0,12,7,8,4,0,DS,DS,KK,0,
91,BS710-7,11093,Full,70,1,0,5,9,6,4,6,DS,DS,KK,0,
92,BS710-7,11093,Full,70,2,0,4,10,6,7,3,DS,DS,KK,0,
93,BS710-8,11094,Full,71,1,0,8,9,3,9,6,DS,DS,KK,0,
94,BS710-8,11094,Full,71,2,1,7,4,3,3,13,DS,DS,KK,0,
95,BS710-9,11095,Full,72,1,3,11,5,3,3,5,DS,DS,KK,0,
96,BS710-9,11095,Full,72,2,6,14,3,2,1,4,DS,DS,KK,0,
97,Check 1-Flavia,11100,Full,74,1,1,12,6,5,4,2,DS,DS,KK,0,
98,Check 1-Flavia,11100,Full,74,2,0,12,11,4,1,2,DS,DS,KK,0,
99,BS710-21,11112,Full,75,1,0,1,1,4,6,18,DS,DS,KK,0,
100,BS710-21,11112,Full,75,2,0,0,0,3,3,24,DS,DS,KK,0,
101,BS710-23,11114,Full,76,1,0,0,4,1,6,23,DS,DS,KK,0,
102,BS710-23,11114,Full,76,2,0,0,3,2,5,19,DS,DS,KK,0,
