,Entry,PLOT,Full_sample,Check,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
53,BS615-42,11047,Full,B,34,1,0,2,9,6,10,3,NA,,,2020,Snyder,1,5,Winter DH Germination
55,Check 6-Charles,11050,Full,C,37,1,23,7,0,0,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
56,Check 6-Charles,11050,Full,C,37,2,17,13,0,0,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
57,BS615-46,11053,Full,B,39,1,1,8,9,3,4,5,1,,,2020,Snyder,1,5,Winter DH Germination
58,BS615-46,11053,Full,B,39,2,0,4,10,6,5,5,NA,,,2020,Snyder,1,5,Winter DH Germination
59,BS615-48,11055,Full,B,40,1,1,10,9,2,2,6,NA,,,2020,Snyder,1,5,Winter DH Germination
60,BS615-48,11055,Full,B,40,2,1,10,6,5,4,4,NA,,,2020,Snyder,1,5,Winter DH Germination
62,BS615-49,11056,Full,B,41,2,0,6,9,5,4,6,NA,,,2020,Snyder,1,5,Winter DH Germination
61,BS615-49,11056,Full,B,41,1,0,6,11,7,1,5,1,,,2020,Snyder,1,5,Winter DH Germination
63,BS615-51,11058,Full,B,43,1,0,0,0,3,11,16,NA,,,2020,Snyder,1,5,Winter DH Germination
64,BS615-51,11058,Full,B,43,2,0,0,0,4,8,18,NA,,,2020,Snyder,1,5,Winter DH Germination
65,BS615-53,11060,Full,B,45,1,1,4,16,5,1,4,1,,,2020,Snyder,1,5,Winter DH Germination
66,BS615-53,11060,Full,B,45,2,0,6,12,5,3,4,NA,,,2020,Snyder,1,5,Winter DH Germination
68,BS615-55,11062,Full,B,47,2,1,7,11,10,2,4,4,,,2020,Snyder,1,5,Winter DH Germination
67,BS615-55,11062,Full,B,47,1,0,5,12,10,0,4,NA,,,2020,Snyder,1,5,Winter DH Germination
70,BS616-58,11065,Full,B,50,2,0,3,11,5,8,3,1,,,2020,Snyder,1,5,Winter DH Germination
69,BS616-58,11065,Full,B,50,1,0,2,5,8,11,4,1,,,2020,Snyder,1,5,Winter DH Germination
72,BS616-62,11069,Full,B,54,2,0,0,5,3,15,12,NA,,,2020,Snyder,1,5,Winter DH Germination
71,BS616-62,11069,Full,B,54,1,0,0,3,6,13,8,NA,,,2020,Snyder,1,5,Winter DH Germination
73,BS616-64,11071,Full,B,56,1,0,4,2,4,6,14,NA,,,2020,Snyder,1,5,Winter DH Germination
74,BS616-64,11071,Full,B,56,2,0,3,3,9,8,7,NA,,,2020,Snyder,1,5,Winter DH Germination
75,BS616-66,11073,Full,B,57,1,0,1,5,2,5,17,NA,,,2020,Snyder,1,5,Winter DH Germination
