,Entry,PLOT,sort,Harv,Mist,Score,Sprout Score,Special_note
96,BS814-135,12387,,02-07-20,06-07-20,09-07-20,30210,
112,BS911-65,12464,,06-07-20,10-07-20,13-07-20,30300,
1,Check 1-Flavia,12001,,02-07-20,06-07-20,09-07-20,30314,
57,BS713-98,12191,,02-07-20,06-07-20,09-07-20,31000,
117,BS911-100,12499,,02-07-20,06-07-20,09-07-20,31100,
44,BS710-33,12124,,02-07-20,06-07-20,09-07-20,31110,
116,BS911-96,12495,,02-07-20,06-07-20,09-07-20,31220,large_variance
26,BS616-62,12069,,02-07-20,06-07-20,09-07-20,32000,
86,BS812-78,12328,,02-07-20,06-07-20,09-07-20,33002,large_variance
34,Check 1-Flavia,12100,,02-07-20,06-07-20,09-07-20,33320,
70,BS715-144,12242,,02-07-20,06-07-20,09-07-20,33444,large_variance
43,BS710-30,12121,,02-07-20,06-07-20,09-07-20,43110,
12,BS613-10,12015,,02-07-20,06-07-20,09-07-20,44430,large_variance
64,Check 4-SY Tepee,12203,,06-07-20,10-07-20,13-07-20,50203,large_variance
13,BS613-11,12016,,02-07-20,06-07-20,09-07-20,54543,large_variance
61,Check 1-Flavia,12200,,02-07-20,06-07-20,09-07-20,55344,
11,BS613-7,12012,,06-07-20,10-07-20,13-07-20,55432,
22,Check 6-Charles,12050,,06-07-20,10-07-20,13-07-20,87686,
49,Check 6-Charles,12150,,06-07-20,10-07-20,13-07-20,99969,
71,Check 6-Charles,12250,,06-07-20,10-07-20,13-07-20,99999,
90,Check 6-Charles,12350,,06-07-20,10-07-20,13-07-20,99999,
2,Check 2-Scala,12002,/,,,,,
5,Check 5-Wintmalt,12005,/,,,,,
9,BS611-5,12010,/*,,,,,
33,BS710-13,12099,/*,,,,,
38,Check 5-Wintmalt,12104,/,,,,,
45,BS710-38,12129,/*,,,,,
62,Check 2-Scala,12201,/,,,,,
65,Check 5-Wintmalt,12204,/,,,,,
109,BS911-58,12457,/*,,,,,
110,BS911-59,12458,/*,,,,,
